Date,Open,High,Low,Close,Adj Close,Volume
2019-11-04,338.000000,368.000000,327.500000,355.000000,355.000000,25238
2019-11-11,355.000000,361.500000,338.500000,345.000000,345.000000,20681
2019-11-18,346.000000,354.000000,342.000000,348.000000,348.000000,20276
2019-11-25,350.000000,362.500000,346.000000,348.500000,348.500000,7725
2019-12-02,349.500000,383.000000,347.000000,374.500000,374.500000,24859
2019-12-09,375.000000,393.000000,371.000000,384.500000,384.500000,27941
2019-12-16,385.000000,393.500000,372.500000,390.000000,390.000000,45250
2019-12-23,391.000000,398.000000,390.000000,398.000000,398.000000,10724
2019-12-30,398.000000,408.000000,394.500000,400.500000,400.500000,14518
2020-01-06,400.500000,415.000000,392.000000,414.500000,414.500000,19728
2020-01-13,415.000000,422.000000,405.000000,412.000000,412.000000,27272
2020-01-20,413.000000,460.000000,410.000000,448.000000,448.000000,46740
2020-01-27,442.000000,443.500000,424.000000,432.000000,432.000000,30990
2020-02-03,426.000000,449.500000,418.500000,444.000000,444.000000,33646
2020-02-10,444.000000,464.000000,430.000000,460.000000,460.000000,36664
2020-02-17,460.000000,493.500000,458.500000,467.500000,467.500000,65274
2020-02-24,461.000000,464.500000,365.500000,385.000000,385.000000,171628
2020-03-02,401.000000,439.000000,383.000000,414.500000,414.500000,96368
2020-03-09,380.000000,394.000000,280.000000,295.000000,295.000000,178506
2020-03-16,294.000000,381.000000,256.000000,346.500000,346.500000,139919
2020-03-23,342.000000,375.000000,312.000000,357.000000,357.000000,66641
2020-03-30,360.000000,365.500000,344.500000,362.500000,362.500000,36313
2020-04-06,365.000000,414.000000,358.000000,380.000000,380.000000,74269
2020-04-13,380.000000,398.000000,378.000000,391.000000,391.000000,38927
2020-04-20,395.000000,415.000000,381.500000,410.000000,410.000000,65699
2020-04-27,415.000000,461.500000,414.000000,435.000000,435.000000,89872
2020-05-04,430.000000,434.000000,406.000000,429.000000,429.000000,94200
2020-05-11,431.000000,462.000000,417.000000,459.500000,459.500000,81557
2020-05-18,465.000000,490.000000,465.000000,486.000000,486.000000,72824
2020-05-25,488.000000,505.000000,451.000000,473.000000,473.000000,104363
2020-06-01,475.500000,500.000000,455.500000,467.500000,467.500000,75474
2020-06-08,467.500000,503.000000,449.500000,492.000000,492.000000,66518
2020-06-15,488.000000,553.000000,476.500000,521.000000,521.000000,75075
2020-06-22,559.000000,618.000000,551.000000,604.000000,604.000000,113119
2020-06-29,616.000000,619.000000,478.000000,544.000000,544.000000,226167
2020-07-06,544.000000,544.000000,510.000000,520.000000,520.000000,58548
2020-07-13,529.000000,537.000000,502.000000,525.000000,525.000000,34353
2020-07-20,521.000000,542.000000,512.000000,516.000000,516.000000,38135
2020-07-27,515.000000,525.000000,454.000000,499.500000,499.500000,50585
2020-08-03,504.000000,518.000000,495.000000,511.000000,511.000000,40049
2020-08-10,517.000000,517.000000,490.000000,503.000000,503.000000,20136
2020-08-17,505.000000,544.000000,502.000000,505.000000,505.000000,41499
